Genus_silva	Genus_ehomd	n_asvs
Candidatus_Entotheonella	Anaerovoracaceae [G3]	3
Catenibacterium	Eggerthia	3
Chloroplast	Selenomonadaceae [G1]	3
Clostridia_vadinBB60_group	Anaerovoracaceae [G3]	3
Colwellia	Pseudomonas	3
Cupriavidus	Ralstonia	3
Eel-36e1D6	Erythrobacter	3
Ensifer	Aquamicrobium	3
Ensifer	Mesorhizobium	3
Escherichia-Shigella	Streptococcus	3
F082	Pedobacter	3
Fimbriimonadaceae	Corynebacterium	3
Flexilinea	Anaerolineae [G1]	3
Fluviicola	Weeksellaceae [G1]	3
Fournierella	Faecalibacterium	3
HOC36	Cardiobacterium	3
Haliangium	Novosphingobium	3
Halobacillus	Streptococcus	3
Halomonas	Pseudomonas	3
Herbaspirillum	Leptothrix	3
IMCC26256	Corynebacterium	3
Iamia	Mycobacterium	3
JG30-KF-AS9	Caldilinea	3
KD3-93	Pedobacter	3
KF-JG30-C25	Moraxella	3
Kapabacteriales	Melioribacter	3
Lactobacillus	Lactiplantibacillus	3
Lentimicrobium	Pedobacter	3
Leucobacter	Microbacterium	3
Limnobacter	Schlegelella	3
Longimicrobiaceae	Desulfovibrio	3
Longispora	Mycobacterium	3
Mariniflexile	Riemerella	3
Marvinbryantia	Agathobacter	3
Mesorhizobium	Aquamicrobium	3
Methyloprofundus	Moraxella	3
Microbacteriaceae	Microbacterium	3
Monoglobus	Selenomonas	3
Muribaculaceae	Alloprevotella	3
Negativibacillus	Catonella	3
Nitrospira	Desulfovibrio	3
Nocardioides	Kocuria	3
OM27_clade	Caulobacter	3
Odoribacter	Porphyromonas	3
Olivibacter	Pedobacter	3
Parapedobacter	Pedobacter	3
Piscinibacter	Schlegelella	3
Pseudarthrobacter	Micrococcus	3
Pseudochrobactrum	Brucella	3
Pseudoflavitalea	Segetibacter	3
Pseudomonas	Fusobacterium	3
Pseudomonas	Streptococcus	3
Pseudomonas	Stutzerimonas	3
R7C24	Moraxella	3
Rhodopseudomonas	Bradyrhizobium	3
Roseburia	Butyrivibrio	3
Ruminobacter	Aggregatibacter	3
Serratia	Yersinia	3
Sinomonas	Kocuria	3
Sphingobacteriaceae	Pedobacter	3
Sporosarcina	Gemella	3
Streptobacillus	Sneathia	3
Streptococcus	Hoylesella	3
Subgroup_21	Pseudoramibacter	3
Subgroup_21	Selenomonas	3
Succinivibrio	Moraxella	3
Tahibacter	Stenotrophomonas	3
Thiogranum	Pseudomonas	3
UCG-003	Clostridiales [F3 G1]	3
UCG-004	Erysipelotrichaceae [G1]	3
UTBCD1	Segetibacter	3
Vibrio	Aggregatibacter	3
Virgibacillus	Bacillus	3
Xanthomonas	Stenotrophomonas	3
[Eubacterium]_coprostanoligenes_group	Stomatobaculum	3
[Eubacterium]_siraeum_group	Hominimerdicola	3
[Rhizobium]_sphaerophysae_group	Agrobacterium	3
bacteriap25	Desulfovibrio	3
p-251-o5	Porphyromonas	3
p-2534-18B5_gut_group	Odoribacteraceae [G4]	3
pLW-20	Moraxella	3
uncultured	Acinetobacter	3
uncultured	Alloprevotella	3
uncultured	Anaerovoracaceae [G8]	3
uncultured	Brevundimonas	3
uncultured	Fusobacterium	3
uncultured	Gemella	3
uncultured	Lachnoanaerobaculum	3
uncultured	Neisseriaceae [G1]	3
uncultured	Peptidiphaga	3
uncultured	Peptoanaerobacter	3
211ds20	Moraxella	2
A21b	Schlegelella	2
A4b	Caldilinea	2
Acetitomaculum	Butyrivibrio	2
Acetitomaculum	Lachnospiraceae [G7]	2
Actinomadura	Kocuria	2
Aerococcus	Granulicatella	2
Afipia	Bradyrhizobium	2
Aggregatibacter	Fusobacterium	2
Aggregatibacter	Streptococcus	2
Ahniella	Pseudomonas	2
Alcanivorax	Pseudomonas	2
Alloprevotella	Prevotella	2
Aminobacter	Aquamicrobium	2
Arcobacter	Campylobacter	2
Atopobium	Olegusella	2
Aurantisolimonas	Flavitalea	2
B1-7BS	Schlegelella	2
BD1-7_clade	Moraxella	2
BD2-11_terrestrial_group	Desulfomicrobium	2
BIrii41	Haematobacter	2
BIyi10	Moraxella	2
Bacillus	Alkalihalobacillus	2
Bacteroides	Hoylesella	2
Bacteroidetes_BD2-2	Pedobacter	2
Bacteroidetes_VC2.1_Bac22	Pedobacter	2
Belnapia	Roseomonas	2
Bifidobacterium	Scardovia	2
Brachymonas	Paenacidovorax	2
Bryobacter	Lachnospiraceae [G7]	2
CCD24	Aggregatibacter	2
Candidatus_Ovatusbacter	Pseudomonas	2
Candidatus_Solibacter	Peptoniphilaceae [G2]	2
Capnocytophaga	Cloacibacterium	2
Capnocytophaga	Porphyromonas	2
Castellaniella	Bordetella	2
Cellulosilyticum	Anaerovoracaceae [G3]	2
Cerasibacillus	Abiotrophia	2
Chitinophagaceae	Segetibacter	2
Clostridia_vadinBB60_group	Anaerovoracaceae [G1]	2
Clostridium_sensu_stricto_13	Clostridiales [F3 G1]	2
Coprobacter	Tannerella	2
DNF00809	Eggerthella	2
Defluviicoccus	Haematobacter	2
Defluviitaleaceae_UCG-011	Anaerovoracaceae [G3]	2
Denitratisoma	Oryzomicrobium	2
Dialister	Neisseria	2
Dolosicoccus	Abiotrophia	2
Domibacillus	Enterococcus	2
Dongia	Roseomonas	2
Dubosiella	Solobacterium	2
E1B-B3-114	Pseudomonas	2
Eikenella	Kingella	2
Elizabethkingia	Riemerella	2
Enterorhabdus	Olsenella	2
Erysipelotrichaceae	Erysipelothrix	2
Escherichia-Shigella	Veillonella	2
F082	Porphyromonas	2
Faecalibaculum	Erysipelotrichaceae [G1]	2
Falsirhodobacter	Rhodobacter	2
Fontimonas	Leptothrix	2
Gastranaerophilales	Desulfomicrobium	2
Gemella	Fusobacterium	2
Gemella	Streptococcus	2
Geodermatophilus	Mycobacterium	2
Granulosicoccus	Cardiobacterium	2
Haliangium	Haematobacter	2
Halobacillus	Peptostreptococcus	2
Herbaspirillum	Ralstonia	2
Hoeflea	Aquamicrobium	2
Hydrogenedensaceae	Selenomonas	2
Hypnocyclicus	Fusobacterium	2
IS-44	Schlegelella	2
Intestinibacter	Peptostreptococcus	2
Iodidimonas	Haematobacter	2
JG30-KF-CM45	Caldilinea	2
JG30-KF-CM66	Caldilinea	2
Jeotgalibaca	Enterococcus	2
KI89A_clade	Aggregatibacter	2
LWQ8	Saccharimonas	2
Lachnoclostridium	Oribacterium	2
Lachnospira	Butyrivibrio	2
Lachnospira	Lachnospiraceae [G10]	2
Lachnospiraceae	Lachnospiraceae [G10]	2
Lachnospiraceae_UCG-004	Lachnospiraceae [G2]	2
Lachnospiraceae_UCG-004	Porphyromonas	2
Lachnospiraceae_UCG-004	Ruminococcaceae [G2]	2
Lachnospiraceae_UCG-004	Stomatobaculum	2
Lachnospiraceae_UCG-006	Lachnospiraceae [G2]	2
Lachnospiraceae_UCG-008	Lachnospiraceae [G2]	2
Lacibacter	Segetibacter	2
Lactobacillus	Abiotrophia	2
Lactobacillus	Granulicatella	2
Lactobacillus	Levilactobacillus	2
Lactobacillus	Selenomonas	2
Leuconostoc	Limosilactobacillus	2
Limnobacter	Leptothrix	2
MBAE14	Pseudomonas	2
MND1	Lautropia	2
Marinoscillum	Pedobacter	2
Marmoricola	Propionibacteriaceae [G1]	2
Massilia	Ottowia	2
Massilia	Ralstonia	2
Methylobacillus	Oryzomicrobium	2
Methylocaldum	Pseudomonas	2
Methyloversatilis	Oryzomicrobium	2
Mitochondria	Sphingomonas	2
Monoglobus	Fastidiosipila	2
Moryella	Lachnospiraceae [G2]	2
Muribaculaceae	Prevotella	2
Muribaculum	Odoribacteraceae [G7]	2
NS11-12_marine_group	Alistipes	2
Neisseria	Eikenella	2
Neochlamydia	Chlamydia	2
Nevskia	Moraxella	2
Nitriliruptoraceae	Olsenella	2
Nitrosospira	Schlegelella	2
Novosphingobium	Erythrobacter	2
OLB14	Caldilinea	2
OM27_clade	Desulfomicrobium	2
Oxalobacter	Ralstonia	2
PLTA13	Pseudomonas	2
Paenarthrobacter	Kocuria	2
Panacagrimonas	Leptothrix	2
Pantoea	Cronobacter	2
Parasegetibacter	Flavitalea	2
Parvibacter	Eggerthella	2
Parvimonas	Anaerosphaera	2
Pelagibius	Haematobacter	2
Pelospora	Syntrophomonadaceae [G1]	2
Peptoclostridium	Peptostreptococcus	2
Peptostreptococcaceae	Peptoanaerobacter	2
Peptostreptococcus	Streptococcus	2
Phaeodactylibacter	Pedobacter	2
Phormidium_SAG_37.90	Arthrospira	2
Phreatobacter	Afipia	2
Phyllobacterium	Brucella	2
Porphyromonas	Streptococcus	2
Prevotellaceae_Ga6A1_group	Alloprevotella	2
Prevotellaceae_NK3B31_group	Hoylesella	2
Propionivibrio	Oryzomicrobium	2
Pseudaminobacter	Aquamicrobium	2
Pseudoalteromonas	Serratia	2
Pseudogracilibacillus	Bacillus	2
Pseudohongiella	Aggregatibacter	2
Pseudolabrys	Afipia	2
Qipengyuania	Novosphingobium	2
RF39	Erysipelothrix	2
RF39	Hoylesella	2
RF39	Solobacterium	2
Rhizorhapis	Novosphingobium	2
Rhodobacter	Haematobacter	2
Rhodomicrobium	Afipia	2
Rhodoplanes	Afipia	2
Rikenella	Alistipes	2
S085	Caldilinea	2
