disease	feature	k	estimate	se	p	I2	padj
IBS-D	PWY-6122	2	0.03197399618354843	0.035304846757620585	0.3651187098060478	60.37500626828929	0.7697388630041506
IBS-D	PWY-6126	2	0.021607813648744797	0.024293052712506934	0.37375336862884584	0	0.7697388630041506
IBS-D	PWY-6277	2	0.03197399618354843	0.035304846757620585	0.3651187098060478	60.37500626828929	0.7697388630041506
IBS-D	PWY-6628	2	0.018230412324746426	0.020217390527517157	0.3672059692711082	0	0.7697388630041506
IBS-D	PWY-7196	2	0.02369236969204086	0.02682515899018791	0.37712038254565766	0	0.7697388630041506
IBS-D	PWY4FS-7	2	-0.05224420120332439	0.05898281330444673	0.3757506655653166	57.34650525881699	0.7697388630041506
IBS-D	PWY4FS-8	2	-0.05224420120332439	0.05898281330444673	0.3757506655653166	57.34650525881699	0.7697388630041506
IBS-D	PWY-5913	2	-0.16192795393473075	0.18522026436493214	0.3819846565536624	83.38253146946118	0.7743634534217102
IBS-D	PWY-6470	2	-0.1228517360571035	0.1416777501763485	0.3858757787446593	0	0.7769660950399221
IBS-D	PWY-6383	2	-0.33324692397309164	0.3916328478009801	0.39481563654140195	76.52530574719471	0.7896312730828039
IBS-D	NONOXIPENT-PWY	2	0.06444815629858598	0.07631701961325994	0.3984015306583584	82.72447763058545	0.7914910409079388
IBS-D	P161-PWY	2	-0.44411016277507476	0.538849353703198	0.40983591611387477	94.95259202796824	0.8088152516684416
IBS-D	KDO-NAGLIPASYN-PWY	2	-0.3587308033261069	0.4403084499730047	0.41522908782625984	65.07239840884196	0.814067553764641
IBS-D	FERMENTATION-PWY	2	-0.1388203206860587	0.17314940117865454	0.422704977035187	89.62100991986236	0.8233077330489263
IBS-D	PWY-5505	2	0.37183582920412	0.49426821764008716	0.4518732842850657	87.43085669953646	0.8522673336515796
IBS-D	PWY-6125	2	-0.019515566255653743	0.025534901949817272	0.4447062019458312	10.00135354101077	0.8522673336515796
IBS-D	PWY-6317	2	-0.10691610029888064	0.141860515560546	0.4510470380091015	82.58911902130211	0.8522673336515796
IBS-D	PWY-7431	2	0.3498354919423687	0.4644382985198569	0.45130313491566304	21.02800604888982	0.8522673336515796
IBS-D	PWY0-1296	2	-0.06964987153534713	0.09088492956456719	0.44346672824580774	0	0.8522673336515796
IBS-D	PWY490-3	2	0.4947144918255161	0.6660175454776415	0.4576058129726346	86.24927374281796	0.8576511463260699
IBS-D	ARG+POLYAMINE-SYN	2	0.21778702438904757	0.3051395044695675	0.47539454541815207	69.61799996960227	0.8581216763219416
IBS-D	DENITRIFICATION-PWY	2	-0.7690197173430166	1.263573948180108	0.5427850855388361	89.85810968193914	0.8581216763219416
IBS-D	FUCCAT-PWY	2	-0.16236910408189725	0.23903464895877058	0.496966700323717	74.93228262847433	0.8581216763219416
IBS-D	GALACT-GLUCUROCAT-PWY	2	-0.18568290908883608	0.31709072859841136	0.5581558409912438	42.00865781343423	0.8581216763219416
IBS-D	GALACTUROCAT-PWY	2	-0.22489390635113993	0.34963145526931705	0.5200740062107386	55.66381960307794	0.8581216763219416
IBS-D	GLUCUROCAT-PWY	2	-0.20077789210943464	0.2951351189377055	0.49631994984191025	38.54550722660922	0.8581216763219416
IBS-D	GLUTORN-PWY	2	-0.06895284127675728	0.10407199599657184	0.507619169299018	0	0.8581216763219416
IBS-D	GLYCOL-GLYOXDEG-PWY	2	-0.7565032966411394	1.2914518472387324	0.5580251174393025	80.28812400416604	0.8581216763219416
IBS-D	GLYCOLYSIS-TCA-GLYOX-BYPASS	2	-0.7546010104446903	1.2261131375528886	0.5382631368794399	81.3361805353425	0.8581216763219416
IBS-D	P125-PWY	2	-0.27751617655491567	0.48785897758430435	0.5694612822971632	85.7611750443505	0.8581216763219416
