feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
PWY-6397	group	GERD	-0.354699006260819	0.774551499450089	26	24	0.651113961549178	0.90197076167089	Ziganshina_2020	GERD
PWY-6471	group	GERD	0.119213196434139	0.155697218153986	26	26	0.451335680713239	0.90197076167089	Ziganshina_2020	GERD
PWY-6478	group	GERD	0.450377077798636	0.317578312482531	26	26	0.16899865896989	0.90197076167089	Ziganshina_2020	GERD
PWY-6505	group	GERD	-0.326252822614163	0.279372575134263	26	3	0.254356251242631	0.90197076167089	Ziganshina_2020	GERD
PWY-6519	group	GERD	-0.278048019838576	0.189615587343854	26	26	0.155526770429783	0.90197076167089	Ziganshina_2020	GERD
PWY-6545	group	GERD	0.183764907990436	0.235044286238081	26	26	0.441959271183817	0.90197076167089	Ziganshina_2020	GERD
PWY-6562	group	GERD	-0.485926171237706	0.773529161894693	26	25	0.535809793574761	0.90197076167089	Ziganshina_2020	GERD
PWY-6572	group	GERD	0.217231625899185	0.369301507508692	26	26	0.561877769489031	0.90197076167089	Ziganshina_2020	GERD
PWY-6590	group	GERD	-0.511144611090249	0.42851387995906	26	26	0.244595394352466	0.90197076167089	Ziganshina_2020	GERD
PWY-6608	group	GERD	0.121854030643373	0.274807973222197	26	26	0.661437055534782	0.90197076167089	Ziganshina_2020	GERD
PWY-6612	group	GERD	-0.0654298635427991	0.0343241970157578	26	26	0.0686639465671718	0.90197076167089	Ziganshina_2020	GERD
PWY-6628	group	GERD	0.0892206624162603	0.0931469112027967	26	26	0.34768934111394	0.90197076167089	Ziganshina_2020	GERD
PWY-6630	group	GERD	0.0899898223268558	0.0904774939074802	26	26	0.329848790702827	0.90197076167089	Ziganshina_2020	GERD
PWY-6700	group	GERD	-0.0770855417812224	0.0386268374965338	26	26	0.057442233020379	0.90197076167089	Ziganshina_2020	GERD
PWY-6703	group	GERD	-0.0498264408669736	0.0539536096745751	26	26	0.364936212631622	0.90197076167089	Ziganshina_2020	GERD
PWY-6708	group	GERD	-0.363004203714421	0.546525475710297	26	26	0.512891314483737	0.90197076167089	Ziganshina_2020	GERD
PWY-6749	group	GERD	0.594743531542277	0.528082457350269	26	26	0.27120312680930603	0.90197076167089	Ziganshina_2020	GERD
PWY-6876	group	GERD	-0.26686514116131	0.227661493825372	26	3	0.252621070593286	0.90197076167089	Ziganshina_2020	GERD
PWY-6891	group	GERD	-0.309399864278692	0.293747219658208	26	26	0.302699268112858	0.90197076167089	Ziganshina_2020	GERD
PWY-6892	group	GERD	-0.399059071974177	0.202840694441135	26	26	0.0608044849696327	0.90197076167089	Ziganshina_2020	GERD
PWY-6895	group	GERD	-0.240040336985021	0.207330013983094	26	26	0.25835068947901	0.90197076167089	Ziganshina_2020	GERD
PWY-6897	group	GERD	-0.118268377875028	0.058256830793156	26	26	0.0535687294408334	0.90197076167089	Ziganshina_2020	GERD
PWY-6901	group	GERD	0.167101000406488	0.188411417676025	26	26	0.38393731700635497	0.90197076167089	Ziganshina_2020	GERD
PWY-7003	group	GERD	0.082269410251714	0.180689669971162	26	26	0.652980222611468	0.90197076167089	Ziganshina_2020	GERD
