disease	feature	k	estimate	se	p	I2	padj
GERD	g__Pseudoramibacter	2	0.022606105021920307	0.1648876643006899	0.8909517225264589	0	0.9813332193134957
GERD	g__RF39	3	0.09128776057840943	0.24279572773529973	0.7069274079112862	0	0.9813332193134957
GERD	g__Ralstonia	2	-0.14913892207148952	0.16836389764867277	0.3757183264297401	0	0.9813332193134957
GERD	g__Rikenellaceae_RC9_gut_group	3	0.0824760503741079	0.2684787838252773	0.7586929372327856	0	0.9813332193134957
GERD	g__Roseburia	2	0.19920548811369843	0.4001553070634704	0.6186106129253314	0	0.9813332193134957
GERD	g__Saccharimonadaceae	3	-0.16721521622962598	0.3378389905764289	0.6206316377471908	0	0.9813332193134957
GERD	g__Serratia	2	-0.3017559992259601	0.29902728055984995	0.31291453779261846	0	0.9813332193134957
GERD	g__Slackia	2	-0.04287153128810024	0.206104883600964	0.8352224683429864	0	0.9813332193134957
GERD	g__Solobacterium	4	-0.10507542072435203	0.28887326233910454	0.7160504637534957	57.53784529945357	0.9813332193134957
GERD	g__Stenotrophomonas	2	-0.05922610494504412	0.2742792164622973	0.8290394878810396	0	0.9813332193134957
GERD	g__Streptobacillus	2	-0.20812917062007014	0.3764607613676291	0.5803609637089817	0	0.9813332193134957
GERD	g__TM7x	4	0.11350255131986325	0.49263766062211284	0.8177827996703128	62.71478193400284	0.9813332193134957
GERD	g__Tannerella	4	0.08091212461292258	0.22282067344608067	0.7165102778955497	0	0.9813332193134957
GERD	g__Treponema	4	-0.19336455249951306	0.2766621431650453	0.48460237255102306	4.84786248932819	0.9813332193134957
GERD	g__uncultured.3	3	-0.019265085096308154	0.223579369902743	0.9313339422934372	0	0.9813332193134957
GERD	g__uncultured.5	2	0.18597279082203397	0.18789698936352148	0.32229178734820535	0	0.9813332193134957
GERD	g__Absconditabacteriales_.SR1.	4	-0.03293880895111723	0.550654750902132	0.9523009609522042	69.93939621067099	0.9940685469588797
GERD	g__Streptococcus	4	0.011628213229710964	0.2421938530978628	0.9617066725877012	74.955028109926	0.9951573394603168
GERD	g__Rothia	4	0.01863451218851289	0.5073490864000114	0.9707009479194886	83.89712263395961	0.9958052827794754
GERD	Unclassified_f__Peptostreptococcaceae	3	-0.0025137144860873373	0.33296960666859793	0.9939765225195177	45.106960749231526	0.9964737804701986
GERD	g__JGI_0000069.P22	3	-0.0028620344250151076	0.12880105412212767	0.9822719993324361	0	0.9964737804701986
GERD	g__uncultured.1	3	7.580213650715609e-4	0.17151841228205375	0.9964737804701986	5.494240820193229	0.9964737804701986
